,post_time,title,content,label
2046,2021-07-06,[閒聊] 明日 陽明 小心外資隔日冲,"今天外資大買 陽明 45,372張  但別開心  今天外資賣超的都是昨日買超的  例如 長榮 , 聯電 , 東和鋼鐵  反正現在外資也玩隔日冲上癮了  我真不知道這對股市是好是壞  明天無意外 陽明隔日冲   -- ",跌
2047,2021-07-06,[情報] 0706上市外資買賣超排行,"買超                                    賣超 名次    股票名稱        超張數          名次    股票名稱        超張數 1       2609陽明        45,373          1       3481群創        -46,964 2       1802台玻        22,004          2       2303聯電        -38,037 3       2883開發金      15,232          3       2409友達        -32,406 4       2027大成鋼      14,258          4       2603長榮        -12,108 5       2885元大金      12,025          5       2006東和鋼鐵    -10,715 6       2891中信金      10,317          6       2208台船        -9,046 7       2887台新金      9,016           7       6116彩晶        -6,919 8       1714和桐        7,123           8       2352佳世達      -6,237 9       2601益航        6,935           9       1909榮成        -6,018 10      2317鴻海        6,313           10      2369菱生        -5,348 11      2890永豐金      6,134           11      2408南亞科      -5,339 12      00637L滬深300正 5,097           12      2834臺企銀      -5,101 13      2324仁寶        5,083           13      2332友訊        -5,006 14      2356英業達      4,740           14      2606裕民        -4,943 15      2338光罩        4,170           15      2340光磊        -4,802 16      1409新纖        4,140           16      2363矽統        -4,760 17      2610華航        3,919           17      2615萬海        -4,448 18      1312國喬        3,911           18      2344華邦電      -4,157 19      2002中鋼        3,911           19      2382廣達        -3,962 20      2823中壽        3,504           20      3037欣興        -3,855 21      2892第一金      2,977           21      2312金寶        -3,739 22      2327國巨        2,795           22      6153嘉聯益      -3,623 23      2886兆豐金      2,605           23      8112至上        -3,603 24      3006晶豪科      2,397           24      2486一詮        -3,483 25      5880合庫金      2,391           25      2029盛餘        -3,419 26      2605新興        2,386           26      6257矽格        -3,334 27      2456奇力新      2,336           27      2882國泰金      -3,256 28      2022聚亨        2,241           28      2498宏達電      -3,128 29      2515中工        2,232           29      3035智原        -3,103 30      1301台塑        2,230           30      2314台揚        -2,934 31      1326台化        2,216           31      8110華東        -2,927 32      1402遠東新      2,089           32      3576聯合再生    -2,911 33      2104國際中橡    2,052           33      00882中國高股息 -2,716 34      6005群益證      1,923           34      2017官田鋼      -2,662 35      00715L布蘭特正2 1,817           35      3702大聯大      -2,561 36      2368金像電      1,707           36      3019亞光        -2,520 37      1718中纖        1,687           37      3704合勤控      -2,240 38      2607榮運        1,668           38      00632R台灣50反1 -2,193 39      3017奇鋐        1,603           39      4960誠美材      -2,186 40      3231緯創        1,586           40      00891關鍵半導體 -2,111 41      9927泰銘        1,576           41      2337旺宏        -2,107 42      2614東森        1,544           42      2401凌陽        -1,972 43      1447力鵬        1,447           43      3189景碩        -1,963 44      1709和益        1,444           44      6443元晶        -1,963 45      1905華紙        1,397           45      2329華泰        -1,958 46      2880華南金      1,386           46      1609大亞        -1,947 47      2809京城銀      1,384           47      8021尖點        -1,943 48      2023燁輝        1,356           48      1904正隆        -1,937 49      2030彰源        1,305           49      2406國碩        -1,927 50      2867三商壽      1,289           50      4976佳凌        -1,901  來源:https://fubon-ebrokerdj.fbs.com.tw/Z/ZG/ZGK_D.djhtm  -- ",跌
2048,2021-07-06,[請益] 萬海怎麼了？,嗨 午安 如題 萬海怎麼了 今天開盤還跟著長榮一起上去 結果收盤萬海大哥直接放生 陽明更是漲停 亞馬遜不是買萬海嗎？ 朋友說台北港已經沒有萬海的貨櫃了 都出去賺錢了 那為什麼萬海一直那麼軟 最差收盤也收小紅吧  萬海六月什麼時候公布自結啊？  -- ,跌
2049,2021-07-06,[情報] 投資長：萬海已做頭 航運股over一天,自誇的豐功偉業就不贅述，準或不準不准見仁見智，但投資長會員（粉絲）多，感覺講話 還是有點影響力，所以跟大家分享。（我是柔伊粉，絕非哲粉）  1.航運股七進七出的投資長，今天說自己「今天沒帶會員買貨櫃」，反而看準解封行情， 買進航空股。（不過有透露自己被會員罵）  2.對於航運行情，哲哲認為「萬海連三天收黑，已經做頭」，然後股價344.5、以及10倍 本益比，就是航運的天花板。  3.長榮則是受惠陽明今天漲停，不然今天一定更差，而且長榮期最後下殺，危險了，明天 8:45的期貨至關重要。  4.最後總結：航運股，「明天會over一天，接下來，我不知道」。  你想想你要怎樣的分析師辣。  https://i.imgur.com/qpKBICh.jpg  附上無字幕版截圖，此time code時說出over一天。  -- ,跌
2050,2021-07-06,[情報] 陽明五月EPS3.15,"事實發生日:110/07/06 2.發生緣由:本公司接獲台灣證券交易所股份有限公司通知辦理 3.財務業務資訊: 期間            (  月  )             (   季   )           (最近四季累計) ========  ==================== ======================== ====================             最近一月   與去年     最近一季     與去年  科目     (110年05月) 同期增減  (110年第1季)  同期增減   (109第2季至110第1季)            IFRS         (%)         IFRS        (%)             IFRS           自結數                  核閱數                       核閱數 ========  =========== ======== ============= ========== ==================== 營業收入      24,035   136.56%     62,282       79.79%            178,917 (百萬) 稅前純益      12,628 11124.90%     28,686     4600.59%             45,473 (百萬) 稅後純益      10,523 15242.56%     24,587     3355.11%             37,529 (百萬) 每股盈餘        3.15 16217.20%       7.49     2516.13%              12.31 (元)  -- ",跌
2051,2021-07-06,[新聞] 台驊5月EPS 3.11元 前5月獲利近一股本,原文標題：台驊5月每股獲利3.11元 前五月獲利近一個股本  原文連結：https://reurl.cc/Q9Vm2M  發布時間：2021-07-06   原文內容：   台驊被證交所要求公告五月財報，五月營收26.62億元，年增82.03%， 稅後盈餘 3.84億元，年增4.62倍，每股獲利 3.11元，與第一季每股 獲利3.16元相當，前五月每股獲利9.25元。  台驊除本業獲利外，短投陽明、長榮股票，在二檔個股五月股價大漲下， 帶動五月獲利亮麗。長榮五月上漲19.6元，漲幅24.81%，陽明五月 上漲22.7元，漲幅28.45%。  不過，台驊今日股價開高震盪走低，終場以下跌11元以283元作收。   心得/評論：                             ※必需填寫滿20字   你各位計算機按一下 6月長榮股價翻倍 陽明也漲快80% 6月自結EPS是不是保底5？？？  Q2如果EPS 11 請問股價多少合理   -- ,跌
2052,2021-07-06,[新聞] 貨櫃船真的跑一趟賺回近八成船價　貨櫃三,原文標題：貨櫃船真的跑一趟賺回近八成船價　貨櫃三雄成交金額佔大盤約41％  原文連結：https://reurl.cc/0janX6  發布時間：2021年07月6日 15:05  原文內容：  記者張佩芬／台北報導 etoday新聞雲  今(6)日航運類股成交量高達48.2％，貨櫃三雄佔比約41％，解除分盤交易首日的陽明(2609)飆漲停，收盤價216.5元，上漲19.5元，長榮(2603)收盤價224元，上漲7元，萬海(2615)跌破300元，收盤價296元，下跌6元。業界指出，貨櫃船公司真的就像洪明洲教授所說，跑一趟賺回約八成船價。  文化大學國際企業學系碩博士班教授洪明洲昨晚在臉書上指出，投資一座8吋晶圓廠成本約5億美元，5年回收，長榮2.4萬箱(20呎櫃)貨櫃船建造成成本約1.5億美元，跑一趟美東，航行約一個月時間，可以回收八成船價，要大家不要放空。  曾經擔任外籍船公司總經理的業界人士指出，現在的運價真的跑一趟可以賺回近一艘船船價，只是長榮2.4萬箱船要跑的是歐洲線，歐洲線來回一趟要63-70天。  以長榮2.4萬箱船，造價1.5億美元來算，目前歐洲線運價約1.4萬美元，以貨載九成五計算，一航次可載到1.14萬個大箱(40呎櫃)，總運費約1.596億美元，其中約有近兩成是運價低許多的長約貨，打個九折剩1.43億元，以每大櫃成本價2千美元，加上塞港等因素增加的成本約300美元，盈餘約1.17億美元，是船價的78％，本月下旬預計運價會調升到1.5萬美元以上，盈餘就會是船價的八成多。  心得/評論：  跑一趟賺回約八成船價太賺了吧  還有人沒買航運嗎？  -- ,跌
2053,2021-07-06,[請益] 陽明被逐出四喵了？,陽明前陣子漲幅緩慢一副要死不活的樣子  被萬海大哥逐出師門只好加入面板，被世人戲稱為四喵  整天被喊救救陽明喵，還有人戲稱陽明電、陽明科和陽明光等  結果陽明忍辱負重，默默學成絕世武功要來師門復仇了  不敢想像整個海運幫被屠門的樣子(怕  六月的陽少俠、明公子會拿+4的屠龍刀椅天劍笑傲江湖嗎?  不過我江湖人最多(市值)的大台積幫依然聳立!    台航:我發現情況不對就不賣了嘻嘻  港務局:我X你的別再說了   當初存的圖都不能用了!殘念~ https://i.imgur.com/z5JcfVI.jpg https://i.imgur.com/gB10Ev7.jpg  -- ,跌
2054,2021-07-06,[情報] 0706 上市櫃外資投信買超金額排行,外資  排行  股票名稱   市場    百萬   收盤價  漲跌  1     2609陽明    市     9620   216.5   +19.5 2     2327國巨    市     1645   597     +26 3     1802台玻    市     861    40.25   +3.65 4     2027大成鋼  市     860    59.5    -1 5     2317鴻海    市     735    116.5   -0.5 6     2454聯發科  市     421    922     +2 7     3006晶豪科  市     417    172.5   +2.5 8     2338光罩    市     389    95      +5.6 9     2885元大金  市     331    27.5    +0.4 10    2456奇力新  市     263    115     +6.5  資料來源：https://tinyurl.com/57bdwj9z   投信  排行  股票名稱   市場   百萬   收盤價  漲跌  1     2456奇力新  市    395    115     +6.5 2     3189景碩    市    304    159     +9 3     3035智原    市    205    83.5    -1.9 4     8255朋程    櫃    200    204     +5.5 5     6138茂達    櫃    177    175.5   +11.5 6     2327國巨    市    177    597     +26 7     3530晶相光  市    140    193.5   -6.5 8     6224聚鼎    市    122    164.5   +9.5 9     2609陽明    市    106    216.5   +19.5 10    8069元太    櫃    95.7   80.1    +2.6  資料來源：https://tinyurl.com/2a4ur4ap  ,跌
2055,2021-07-06,Re: [情報] 陽明五月EPS3.15,財富的秘訣就在這裡，不要融資，因為有回檔，  你融資抱不住，還沒上船的人就照著做，  拿出要投資的錢，也不要去借錢。  （1）心臟小的人，把資金分為三等分，明天  開盤丟1/3，在股價300前有遇到跌停，  再丟1/3，丟完為止。  （2）心臟大的人，明天開盤可以all in，  反正不是借錢或是融資。   停損設好，若是遇到大崩盤像上次那樣，  破10日線或是破月線閃人，站回再買！  這種EPS，股價300送分題，我多次進出  真的比不上水手，放著穩穩賺，之前航海王發文  隔天一堆說all in，只要不是融資，現在  也快要3倍了吧！  ,跌
2056,2021-07-06,Re: [情報] 陽明五月自結EPS 3.15,陽明 長榮賺爛 我大驊哥賺得更爛 六月EPS多少根本不趕想了 今天尾盤那根有多少人被洗出去? 看來驊哥將接棒萬海爸爸 成為航運領頭羊了 怕...  -- ,跌
2057,2021-07-06,[情報] 長榮 陽明吃注意了,-- ,跌
2058,2021-07-06,Re: [情報] 陽明五月自結EPS 3.15,https://i.imgur.com/87JEefe.jpg  陽明5月稅後純益105.23億  營收240.35億元 算下來淨利大約接近44%  5月營收是4月運價反應  現在7月運價大概是4月的120%-130%左右  我們保守估計增長25% 那營收達到億  純益一樣用44%去算那單月EPS接近4元  重點來了 我這是用最保守純益一樣44%去算  但是貨櫃大家知道營收增加主要來自收費漲價  那其實最樂觀是把營收增長部分全部算在純利  如果我們最最最樂觀算純利 那4月營收240億  對比7月運價增長25%就是多60億  60億全部用純益下去算會為EPS多提供1.8元  那之後8月單月EPS最樂觀可以達到1.8+3.15  也就是單月接近5 重點是運價目前還在上漲      )  -- ,跌
2059,2021-07-06,[新聞] 除權息遞延衝擊！0050將除息0.3元、殖利0,"原文標題：除權息遞延衝擊！0050將除息0.3元、殖利率0.2%  原文連結：https://www.google.com.tw/amp/s/udn.com/news/amp/story/7251/5582350  發布時間：2021/07/06  原文內容：  「國民ETF」元大台灣50（0050）今年下半年的配息出爐，元大投信公告，0050每單位擬發0.3元，最新收盤價換算的殖利率約0.2%，21日進行除息。若加入上半年已配發3.05元，今年共配發3.35元，殖利率為2.3%。  對於此結果，部分投資人可能感到失望，因先前傳出0050下半年可配發的金額有機會持平去年，全年也可望不低於去年，對此元大投信表示，0050股息略為減少主要是除權息遞延影響，明年上半年會配得更多，投資人長期布局絕對不會少拿。  0050是台股第1檔ETF，迄今發行超過18年，擁有超過30萬名股民投資，是台股最熱門的ETF之一。近年台積電（2330）走強，今年更在航運股噴發，長榮（2603）、陽明（2609）、萬海（2615）都納入台灣50指數，使0050表現備受關注，而除權息資金卡位一度讓ETF的規模達1,924億元，改寫國內ETF最大紀錄，也引發市場話題。  0050分為上下半年配息，今年1月時，已經除息和配發3.05元，並為同期最多的配息金額，原市場預期下半年可和去年相當，不過受疫情導致除權息遞延，0050此次評價算出的配息金額為0.3元，低於去年7月的0.7元；今年共配發3.35元，也低於去年全年的3.6元，合計殖利率則為2.3%。  元大投信公告，0050今天公布第一階段的評價結果，接下來21日除息前兩天，19日還會進行第二階段公告，確定配息是否為0.3元。8月24日分配收益。  另外值得注意是，0050歷來有每次除息都填息的紀錄，但今年1月除息，正好碰上台積電漲到679元天價，0050也以最高價除息，到目前106天還在填息的過程中。今年來上漲14%，也低於台股上漲21%。  法人表示，目前不分內外資機構都看好台股高點更高，台積電營運也是愈來愈好，可望接棒傳產股領軍，建議已抱股和長期投資人維持偏多操作。觀察過去0050碰上空頭，最長仍在100-200天內完成填息，為長期賺取股息和價差的利器。   心得/評論： 年初還沒填息，年中獎金又大縮水。 今年買0050績效慘輸大盤，始終等不到電子回流，指數化投資仔真是哭啊。   ",跌
2060,2021-07-06,[情報] 0706 上市櫃外資投信同買排行,排行   股票名稱   市場     成交    漲跌     投信買  外資買  1      2456奇力新  市      115     +6.5      3510    2336 2      1802台玻    市      40.25   +3.65     1729    22004 3      2356英業達  市      27.2    +0.2      1474    4740 4      6138茂達    櫃      175.5   +11.5     1019    210 5      2368金像電  市      70.5    +1.5       556    1707 6      4919新唐    市      86.9    +0.7       520    71 7      2609陽明    市      216.5   +19.5      501    45373 8      2002中鋼    市      39.7    -0.2       497    3911 9      6176瑞儀    市      128     +2         482    535 10     2883開發金  市      13.3    +0.05      477    15232 11     3044健鼎    市      138     +1.5       337    386 12     2324仁寶    市      22.45   +0.2       302    5083 13     2327國巨    市      597     +26        300    2795 14     3231緯創    市      32.7    +0.15      268    1586 15     1434福懋    市      32.8    +0.2       261    1132  資料來源：https://tinyurl.com/xratrhts  以上  謝謝  ,跌
2061,2021-07-06,[情報] 7/6 八大官股行庫買賣超,https://i.imgur.com/gUd8Lf6.jpg  https://i.imgur.com/SvTx5dS.jpg   長老：陽明我這不是來賣了嗎？             還可以賣好幾天呢 嘻嘻 https://i.imgur.com/fOjKndJ.jpg ,跌
2062,2021-07-06,[請益] 萬海、台驊的漲勢是不可預期的嗎?,"誠心發問，主要是想了解是否有任何可推測的依據，做為未來其他股票操作上的參考。 跟此時萬海、台驊本身的進出場無關，糕點師勿急~ (倒是可以推論一下大聯大)  主要問題: 當萬海、台驊都還在7x~8x元的時候，我依據基本面的資訊 (歐美長線運價漲) 在航運股之中，很正常的選擇了長榮、陽明。 資金有限的前提下，萬海我完全pass，台驊被我認為根本不是純航運股，也pass  現在股價陽長大約$200，萬驊大約$300， 想問的是，請問這之間的差別，在當初$7x元的時候，是有任何理論或跡象可推測的嗎? 我問的就是現在、此時此刻 跟 7x元時候的差別。 至於他們最終會不會收斂不在這問題討論。 (所謂收斂，應該就是""回歸""基本面吧。例如萬海EPS多少，本益比憑什麼比陽長高云云)  換句話說，萬海跟台驊這陣子""相對於""長榮陽明是超漲了 (請注意我是說""相對於""，非絕對值。不然就不會有將來會收斂一說了)  萬海我最常聽到的說法是股本集中，流通股數少，拉抬容易。 這部分我認同，但也覺得只能偏事後解釋，有辦法事前判斷嗎? 台驊則是我到目前都不懂，姑且不論股票投資貢獻的EPS純度有多少， 就算剛剛公佈的自結五月破3，那不是也只是跟陽明相當? 但股價還是有明顯差距，何解? 通通交給流通股數解釋嗎?  我想知道當初選擇萬海以及台驊的朋友們，扣除本來就乾脆買航運全餐的人之外， 是慧眼看到了那些訊息，讓你們選擇萬驊、而非陽長呢? 誠心發問，感恩~~~  -- ",跌
2063,2021-07-06,[新聞] 萬海慘套353元？專家：高點還沒到　曝航,"原文標題：萬海慘套353元？專家：高點還沒到　曝航運「下船時刻」  原文連結：https://www.setn.com/News.aspx?NewsID=963686  發布時間：2021/07/06  原文內容： 記者戴玉翔／台北報導 航運股近日走勢分歧，「貨櫃三雄」長榮、陽明今（6）日紛紛創下新高價，陽明更是亮 燈漲停，但萬海卻是在7/1創下353元歷史天價後，連收3根黑K，讓不少套牢在「山頂」的 投資人急問該怎麼辦？對此，萬寶投顧總監蔡明彰表示，「真正的高點還沒到！」  蔡明彰表示，萬海（2615）的最高點還沒到，但短期需要整理，因為當初萬海來到353元 ，創下新的天價，成為三雄當中股價最高的大哥，但是它公佈出來的5月EPS為2.45元，較 4月的2.75元衰退，主要是因為萬海原先都以亞洲近洋的航運為主，但因為看好美國線的 商機，萬海購入大船，在3月投入美西線，6月投入美東線，讓營收創歷史新高，但也因為 初期營運成本上升，所以造成獲利減少。  蔡明彰表示，假如跟長榮（2603）、陽明（2609）對比，萬海獲利不是貨櫃三雄中最高的 ，股價卻是最高的，這就「不合理了」，長榮5月EPS為2.91元，高出萬海0.46元，但價位 與一度衝上353元的萬海相比，差了100元以上，陽明跟長榮獲利差不多，也同樣跟萬海差 了100元以上。所以萬海股價衝太快，但獲利跟不上，短期內就需要整理。  至於為何353元不是萬海的最高價位呢？蔡明彰表示，假如長榮、陽明一起下跌，那就會 是航運的最高點，但長榮、陽明不僅沒跌反而創新天價，這代表航運的景氣還是好的，所 以經過整理之後，萬海還是有望向上突破。  「投資人現在要做的就是等待時機『攤平』」，但蔡明彰表示，以現在的股價296元來看 ，其實對於航運股來說，差19%也沒有差非常多，因為他們的股性一漲起來就很快，所以 投資人可以等到價位再更低一些，再來考慮攤平。「但有一個很重要的前提，要攤之前記 得先看一下長榮、陽明，如果三個一起大跌，那就不要攤了。」  心得/評論：                             ※必需填寫滿20字 從5月開始,三雄都大跌的只有6/23,那天長榮快跌停 陽明跟萬海跌停,但那天跌停的原因是有大戶出貨造成恐慌性賣壓 再早一點則是5/17跟25,6/7跟10...  -- ",跌
2064,2021-07-06,[請益] 嘎尾老ㄕ請問你陽明回補了沒,乳題  嘎尾老師一直是我很尊敬的老師  他的節目至少講得出邏輯及他的看法  不像某某投顧，整個節目有三分之二在講一  樣的事情  你不說，  我還以為在重播，每次看節目都直接快轉。  嘎尾  不一樣  多 空 都有他的論點：  十年對稱跌幅  123 拜登基 殺爆台股殺台積  電子股 over booking  霸佔矽晶圓  利多出盡 假突破真大跌  現在市場上 ‘’哪個‘’ 多頭老師跟你在講xxx  現在市場上 ‘’每個‘ ’多頭老師都跟你說xxx  放空實戰教學 空在起跌點 補在起漲點      老師，我就問你  陽明158.5 回補了沒  今天看你的節目寫十成資金準備，  乾，偷補不用說的嗎？  -- ,跌
2065,2021-07-06,[心得] 陽明最快後天二次處置(20分鐘),------------------------------------------------------------------------- 1.發文前請先詳閱[心得]分類發文規範，未依規範發文將受處份。 2.若提及股號股名，且屬未來性的預測或分析有推薦意圖，   請寫到 [標的] 分類，否則將以板規4-1砍文處份。 ----------------------------按ctrl+y可刪除以上內容。---------------------    https://i.imgur.com/sM1e6GY.jpg   陽明目前連續4天吃到第2款注意  明天再吃一次第2款  後天(07/08)就準備進去  以目前大家瘋5月營收的的情況 很難不吃第2款   萬海倒是離處置還遠 連注意都沒有  大哥  二哥  相繼被關  明天水手到底該怎麼做才好   99偶們~    -- ,跌
2066,2021-07-06,[新聞] 陽明5月獲利衝破百億元 優於4月近2成,原文標題：陽明5月獲利衝破百億元 優於4月近2成 4-5月已賺逾半股本   貨櫃航商陽明 (2609-TW) 今 (6) 日在主管機關要求下公布 5 月自結，單月稅後純益 10 5.23 億元，年增 15242.56%，每股純益(EPS)3.15 元，高於 4 月每股純益 88.67 億元 ，獲利月增幅 18.68%，累計 4-5 月 EPS 達 5.81 元。法人估，在 6 月運價持續高漲， 陽明第二季獲利有望優於原先預期。  陽明 5 月合併營收 240.35 億元，年增 136.56%，稅後純益 105.23 億元，年增 15242. 56%，等於每日就賺進 3.39 億元，累計 4-5 月稅後純益已達 193.9 億元，獲利已近第 一季的 80%，有望續寫單季獲利新高紀錄。  法人指出，進入第三季傳統旺季後海運市況可望節節攀高，從供給面來看，貨櫃船舶閒置 率也呈現一路下滑，目前市場船舶閒置率已來到 1%，接近歷史新低的 0.8%，顯示短期潛 在釋出運力有限。  而中長期而言，法人認為，由於國際環保法規日趨嚴格，對造船帶來不確定性，即便目前 因航商獲利好轉而新增造船訂單，預計最快也要到 2023 年才會下水，產業秩序改善中， 即便未來缺櫃效應舒緩，航商應不至於再陷入虧損窘境。    心得：新造的船最快要2023才會下水 那代表航運party開到年底嗎？  陽明、台驊 五月單月自結eps分別是3.15和3.11 不過收盤卻是兩樣情.....99台驊QQ  -- ,跌
